,MDT-O ,Object,Set #,Notes,notes2
1172,011a_1.jpg,BBQ grill,4,blurry image,delete
1173,011b_1.jpg,BBQ grill,4,blurry image,delete
1178,014a_2.jpg,dog puppy,4,hard to identify,delete
1179,014b_2.jpg,dog puppy,4,hard to identify,delete
1180,015a_1.jpg,washer,4,blurry image,delete
1181,015b_1.jpg,washer,4,blurry image,delete
1186,018a_1.jpg,royalty crest,4,blurry image,delete
1187,018b_1.jpg,royalty crest,4,blurry image,delete
1198,024a_2.jpg,hot plate,4,hard to identify,delete
1199,024b_2.jpg,hot plate,4,hard to identify,delete
1202,026a_1.jpg,dirt,4,hard to identify,delete
1203,026b_1.jpg,dirt,4,hard to identify,delete
1218,034a_2.jpg,mini pom poms,4,hard to identify,delete
1219,034b_2.jpg,mini pom poms,4,hard to identify,delete
1242,046a_2.jpg,clothespin,4,little hard to see,delete
1243,046b_2.jpg,clothespin,4,little hard to see,delete
1268,059a_1.jpg,wicker rattan ball,4,hard to identify,delete
1269,059b_1.jpg,wicker rattan ball,4,hard to identify,delete
1288,069a_2.jpg,mini table ball game,4,?,delete
1289,069b_2.jpg,mini table ball game,4,?,delete
1294,072a_1.jpg,white board,4,little hard to see,delete
1295,072b_1.jpg,white board,4,little hard to see,delete
1310,080a_2.jpg,hand towels,4,hard to see,delete
1311,080b_2.jpg,hand towels,4,hard to see,delete
1320,085a_2.jpg,picnic bag,4,hard to identify,delete
1321,085b_2.jpg,picnic bag,4,hard to identify,delete
1324,087a_2.jpg,footsteps in the sand,4,not an object,delete
1325,087b_2.jpg,footsteps in the sand,4,not an object,delete
1326,088a_1.jpg,wodden clown toy,4,?,delete
1327,088b_1.jpg,wodden clown toy,4,?,delete
1330,090a_1.jpg,unknown,4,hard to identify,delete
1331,090b_1.jpg,unknown,4,hard to identify,delete
1342,096a_1.jpg,mustard packet,4,hard to identify,delete
1343,096b_1.jpg,mustard packet,4,hard to identify,delete
1364,107a_2.jpg,hole punch,4,hard to identify,delete
1365,107b_2.jpg,hole punch,4,hard to identify,delete
1368,109a_1.jpg,presentation board,4,low image quality,delete
1369,109b_1.jpg,presentation board,4,low image quality,delete
1374,112a_1.jpg,taco holder,4,hard to identify,delete
1375,112b_1.jpg,taco holder,4,hard to identify,delete
1378,114a_1.jpg,snowshoe,4,hard to identify,delete
1379,114b_1.jpg,snowshoe,4,hard to identify,delete
1384,117a_2.jpg,mini apron,4,hard to identify,delete
1385,117b_2.jpg,mini apron,4,hard to identify,delete
1398,124a_2.jpg,tofu,4,hard to identify,delete
1399,124b_2.jpg,tofu,4,low image quality,delete
1410,130a_2.jpg,flat screw driver,4,low image quality,delete
1411,130b_2.jpg,flat screw driver,4,low image quality,delete
1412,131a_1.jpg,cactus,4,low image quality,delete
1413,131b_1.jpg,cactus,4,low image quality,delete
1416,133a_1.jpg,floppy disk,4,low image quality,delete
1417,133b_1.jpg,floppy disk,4,low image quality,delete
1418,134a_2.jpg,lawn mower,4,low image quality,delete
1419,134b_2.jpg,lawn mower,4,low image quality,delete
1422,136a_2.jpg,light tower maquette,4,low image quality,delete
1423,136b_2.jpg,light tower maquette,4,low image quality,delete
1424,137a_1.jpg,drink lid,4,hard to identify,delete
1425,137b_1.jpg,drink lid,4,hard to identify,delete
1442,146a_2.jpg,yo-yo,4,hard to identify,delete
1443,146b_2.jpg,yo-yo,4,hard to identify,delete
1452,151a_2.jpg,clothes on hanger,4,low image quality,delete
1453,151b_2.jpg,clothes on hanger,4,low image quality,delete
1462,156a_2.jpg,marshmellows,4,hard to see,delete
1463,156b_2.JPG,marshmellows,4,hard to see,delete
1470,160a_1.jpg,pancakes,4,hard to identify,delete
1471,160b_1.jpg,pancakes,4,hard to identify,delete
1472,161a_1.jpg,sand dollar,4,hard to identify,delete
1473,161b_1.jpg,sand dollar,4,hard to identify,delete
1476,163a_2.jpg,lighter,4,low image quality,delete
1477,163b_2.jpg,lighter,4,low image quality,delete
1486,168a_1.jpg,electric onion chopper,4,low image quality,delete
1487,168b_1.jpg,electric onion chopper,4,low image quality,delete
1494,172a_2.jpg,soap bar,4,hard to see,delete
1495,172b_2.jpg,soap bar,4,hard to see,delete
1514,182a_2.jpg,diving fins,4,low image quality,delete
1515,182b_2.jpg,diving fins,4,low image quality,delete
1524,187a_1.jpg,old hand whisk,4,hard to identify,delete
1525,187b_1.jpg,old hand whisk,4,hard to identify,delete
1540,003a_2.jpg,microscope,5,blurry image,delete
1541,003b_2.jpg,microscope,5,blurry image,delete
1568,017a_1.jpg,pine cone,5,blurry image,delete
1569,017b_1.jpg,pine cone,5,blurry image,delete
1578,022a_2.jpg,hot tub,5,same as in set 4,delete
1579,022b_2.jpg,hot tub,5,same as in set 4,delete
1580,023a_2.jpg,gloves,5,duplicate,delete
1581,023b_2.jpg,gloves,5,duplicate,delete
1582,024a_2.jpg,paper cutter,5,same concept as in set 4,delete
1583,024b_2.jpg,paper cutter,5,same concept as in set 4,delete
1604,035a_2.jpg,charm,5,low image quality,delete
1605,035b_2.jpg,charm,5,low image quality,delete
1606,036a_1.jpg,makeup brush,5,low image quality,delete
1607,036b_1.jpg,makeup brush,5,low image quality,delete
1622,044a_2.jpg,pager,5,hard to identify,delete
1623,044b_2.jpg,pager,5,hard to identify,delete
1624,045a_1.jpg,metronome,5,same concept as in set 4,delete
1625,045b_1.jpg,metronome,5,same concept as in set 4,delete
1636,051a_1.jpg,arcade game,5,duplicate,delete
1637,051b_1.jpg,arcade game,5,duplicate,delete
1648,057a_1.jpg,printer paper,5,hard to identify,delete
1649,057b_1.jpg,printer paper,5,hard to identify,delete
