,Unnamed: 0,MDT-O ,Object,Set #,Notes,Lure Rating,notes2,hash
0,0,001a.jpg,tulips,1,,4,save,001-1
1,1,001b.jpg,tulips,1,,4,save,001-1
2,2,002a.jpg,blue pom pom,1,,5,save,002-1
3,3,002b.jpg,yellow pom pom,1,,5,save,002-1
4,4,003a.jpg,for sale by owner sign,1,,4,save,003-1
5,5,003b.jpg,house for sale sign,1,,4,save,003-1
6,6,004a.jpg,thimble,1,,3,save,004-1
7,7,004b.jpg,thimble,1,,3,save,004-1
8,8,005a.jpg,atm,1,,4,save,005-1
9,9,005b.jpg,atm,1,,4,save,005-1
10,10,006a.jpg,flash light,1,,1,save,006-1
11,11,006b.jpg,flash light,1,,1,save,006-1
12,12,007a.jpg,eye glasses,1,,2,save,007-1
13,13,007b.jpg,eye glasses,1,,2,save,007-1
14,14,008a.jpg,computer,1,,2,save,008-1
15,15,008b.jpg,computer,1,,2,save,008-1
16,16,009a.jpg,calculator,1,,3,save,009-1
17,17,009b.jpg,calculator,1,,3,save,009-1
18,18,010a.jpg,paper lantern,1,,1,save,010-1
19,19,010b.jpg,paper lantern,1,,1,save,010-1
20,20,011a.jpg,wrench,1,,1,save,011-1
21,21,011b.jpg,wrench,1,,1,save,011-1
22,22,012a.jpg,staple remover,1,,1,save,012-1
23,23,012b.jpg,staple remover,1,,1,save,012-1
24,24,013a.jpg,neck pillow,1,,5,save,013-1
25,25,013b.jpg,neck pillow,1,,5,save,013-1
26,26,014a.jpg,wheelchair,1,,1,save,014-1
27,27,014b.jpg,wheelchair,1,,1,save,014-1
28,28,015a.jpg,vhs tape,1,,1,save,015-1
29,29,015b.jpg,vhs tape,1,,1,save,015-1
30,30,016a.jpg,pie,1,,2,save,016-1
31,31,016b.jpg,pie,1,,2,save,016-1
32,32,017a.jpg,pillow,1,,3,save,017-1
33,33,017b.jpg,pillow,1,,3,save,017-1
34,34,018a.jpg,rocket,1,,5,save,018-1
35,35,018b.jpg,rocket,1,,5,save,018-1
36,36,019a.jpg,on/off  switch,1,,1,save,019-1
37,37,019b.jpg,on/off  switch,1,,1,save,019-1
38,38,020a.jpg,boxes,1,,3,save,020-1
39,39,020b.jpg,boxes,1,,3,save,020-1
40,40,021a.jpg,armor,1,,3,save,021-1
41,41,021b.jpg,armor,1,,3,save,021-1
42,42,022a.jpg,straw,1,,5,save,022-1
43,43,022b.jpg,straw,1,,5,save,022-1
44,44,023a.jpg,shrimp,1,,4,save,023-1
45,45,023b.jpg,shrimp,1,,4,save,023-1
46,46,024a.jpg,hockey stick,1,,3,save,024-1
47,47,024b.jpg,hockey stick,1,,3,save,024-1
48,48,025a.jpg,pumpkin,1,,2,save,025-1
49,49,025b.jpg,pumpkin,1,,2,save,025-1
50,50,026a.jpg,suitcase,1,,5,save,026-1
51,51,026b.jpg,suitcase,1,,5,save,026-1
52,52,027a.jpg,refrigerate,1,,1,save,027-1
53,53,027b.jpg,refrigerate,1,,1,save,027-1
54,54,028a.jpg,tray,1,,4,save,028-1
55,55,028b.jpg,tray,1,,4,save,028-1
56,56,029a.jpg,hamster cage,1,,3,save,029-1
57,57,029b.jpg,hamster cage,1,,3,save,029-1
58,58,030a.jpg,jump rope,1,,1,save,030-1
59,59,030b.jpg,jump rope,1,,1,save,030-1
60,60,031a.jpg,ipod,1,,4,save,031-1
61,61,031b.jpg,ipod,1,,4,save,031-1
62,62,032a.jpg,cake,1,,2,save,032-1
63,63,032b.jpg,cake,1,,2,save,032-1
64,64,033a.jpg,monopoly,1,,2,save,033-1
65,65,033b.jpg,monopoly,1,,2,save,033-1
66,66,034a.jpg,thermostat,1,,2,save,034-1
67,67,034b.jpg,thermostat,1,,2,save,034-1
68,68,035a.jpg,pumpkin pie,1,,3,save,035-1
69,69,035b.jpg,pumpkin pie,1,,3,save,035-1
70,70,036a.jpg,bulldozer,1,,4,save,036-1
71,71,036b.jpg,bulldozer,1,,4,save,036-1
72,72,037a.jpg,soap dispenser,1,,5,save,037-1
73,73,037b.jpg,soap dispenser,1,,5,save,037-1
74,74,038a.jpg,cinnamon roll,1,,1,save,038-1
75,75,038b.jpg,cinnamon roll,1,,1,save,038-1
76,76,039a.jpg,giraffe,1,,4,save,039-1
77,77,039b.jpg,giraffe,1,,4,save,039-1
78,78,040a.jpg,feather,1,,2,save,040-1
79,79,040b.jpg,feather,1,,2,save,040-1
