,Unnamed: 0,index,MDT-O ,Object,Set #,Lure Rating,Notes,notes2,hash
0,0,0,001a_2.jpg,tulips,1,,,save,001-1
1,1,1,001b_2.jpg,tulips,1,4.0,,save,001-1
2,2,2,002a_2.jpg,pom pom,1,,,save,002-1
3,3,3,002b_2.jpg,pom pom,1,5.0,,save,002-1
4,4,4,003a_2.jpg,for sale sign,1,,,save,003-1
5,5,5,003b_2.jpg,for sale sign,1,4.0,,save,003-1
6,6,6,004a_1.jpg,thimble,1,,,save,004-1
7,7,7,004b_1.jpg,thimble,1,3.0,,save,004-1
8,8,8,005a_2.jpg,atm,1,,,save,005-1
9,9,9,005b_2.jpg,atm,1,4.0,,save,005-1
10,10,10,006a_1.jpg,flash light,1,,,save,006-1
11,11,11,006b_1.jpg,flash light,1,1.0,,save,006-1
12,12,12,007a_2.jpg,eye glasses,1,,,save,007-1
13,13,13,007b_2.jpg,eye glasses,1,2.0,,save,007-1
14,14,14,008a_1.jpg,computer,1,,,save,008-1
15,15,15,008b_1.jpg,computer,1,2.0,,save,008-1
16,16,16,009a_1.jpg,calculator,1,,,save,009-1
17,17,17,009b_1.jpg,calculator,1,3.0,,save,009-1
18,18,18,010a_2.jpg,paper lantern,1,,,save,010-1
19,19,19,010b_2.jpg,paper lantern,1,1.0,,save,010-1
20,20,20,011a_1.jpg,wrench,1,,,save,011-1
21,21,21,011b_1.jpg,wrench,1,1.0,,save,011-1
22,22,22,012a_2.jpg,staple remover,1,,,save,012-1
23,23,23,012b_2.jpg,staple remover,1,1.0,,save,012-1
24,24,24,013a_1.jpg,neck pillow,1,,,save,013-1
25,25,25,013b_1.jpg,neck pillow,1,5.0,,save,013-1
26,26,26,014a_2.jpg,wheelchair,1,,,save,014-1
27,27,27,014b_2.jpg,wheelchair,1,1.0,,save,014-1
28,28,28,015a_1.jpg,vhs tape,1,,,save,015-1
29,29,29,015b_1.jpg,vhs tape,1,1.0,,save,015-1
30,30,30,016a_1.jpg,pie,1,,,save,016-1
31,31,31,016b_1.jpg,pie,1,2.0,,save,016-1
32,32,32,017a_1.jpg,pillow,1,,,save,017-1
33,33,33,017b_1.jpg,pillow,1,3.0,,save,017-1
34,34,34,018a_1.jpg,rocket,1,,,save,018-1
35,35,35,018b_1.jpg,rocket,1,5.0,,save,018-1
36,36,36,019a_2.jpg,on/off  switch,1,,,save,019-1
37,37,37,019b_2.jpg,on/off  switch,1,1.0,,save,019-1
38,38,38,020a_1.jpg,boxes,1,,,save,020-1
39,39,39,020b_1.jpg,boxes,1,3.0,,save,020-1
40,40,40,021a_2.jpg,armor,1,,,save,021-1
41,41,41,021b_2.jpg,armor,1,3.0,,save,021-1
42,42,42,022a_2.jpg,straw,1,,,save,022-1
43,43,43,022b_2.jpg,straw,1,5.0,,save,022-1
44,44,44,023a_2.jpg,shrimp,1,,,save,023-1
45,45,45,023b_2.jpg,shrimp,1,4.0,,save,023-1
46,46,46,024a_2.jpg,hockey stick,1,,,save,024-1
47,47,47,024b_2.jpg,hockey stick,1,3.0,,save,024-1
48,48,48,025a_1.jpg,pumpkin,1,,,save,025-1
49,49,49,025b_1.jpg,pumpkin,1,2.0,,save,025-1
50,50,50,026a_1.jpg,luggage,1,,,save,026-1
51,51,51,026b_1.jpg,luggage,1,5.0,,save,026-1
52,52,52,027a_2.jpg,fridge,1,,,save,027-1
53,53,53,027b_2.jpg,fridge,1,1.0,,save,027-1
54,54,54,028a_1.jpg,tray,1,,,save,028-1
55,55,55,028b_1.jpg,tray,1,4.0,,save,028-1
56,56,56,029a_2.jpg,hamster cage,1,,,save,029-1
57,57,57,029b_2.jpg,hamster cage,1,3.0,,save,029-1
58,58,58,030a_1.jpg,jump rope,1,,,save,030-1
59,59,59,030b_1.jpg,jump rope,1,1.0,,save,030-1
