index,MDT-O ,Object,Set #,Lure Rating,Notes
0,001a_2.jpg,tulips,1,,
1,001b_2.jpg,tulips,1,4,
2,002a_2.jpg,pom pom,1,,
3,002b_2.jpg,pom pom,1,5,
4,003a_2.jpg,for sale sign,1,,
5,003b_2.jpg,for sale sign,1,4,
6,004a_1.jpg,thimble,1,,
7,004b_1.jpg,thimble,1,3,
8,005a_2.jpg,atm,1,,
9,005b_2.jpg,atm,1,4,
10,006a_1.jpg,flash light,1,,
11,006b_1.jpg,flash light,1,1,
12,007a_2.jpg,eye glasses,1,,
13,007b_2.jpg,eye glasses,1,2,
14,008a_1.jpg,computer,1,,
15,008b_1.jpg,computer,1,2,
16,009a_1.jpg,calculator,1,,
17,009b_1.jpg,calculator,1,3,
18,010a_2.jpg,paper lantern,1,,
19,010b_2.jpg,paper lantern,1,1,
20,011a_1.jpg,wrench,1,,
21,011b_1.jpg,wrench,1,1,
22,012a_2.jpg,staple remover,1,,
23,012b_2.jpg,staple remover,1,1,
24,013a_1.jpg,neck pillow,1,,
25,013b_1.jpg,neck pillow,1,5,
26,014a_2.jpg,wheelchair,1,,
27,014b_2.jpg,wheelchair,1,1,
28,015a_1.jpg,vhs tape,1,,
29,015b_1.jpg,vhs tape,1,1,
30,016a_1.jpg,pie,1,,
31,016b_1.jpg,pie,1,2,
32,017a_1.jpg,pillow,1,,
33,017b_1.jpg,pillow,1,3,
34,018a_1.jpg,rocket,1,,
35,018b_1.jpg,rocket,1,5,
36,019a_2.jpg,on/off  switch,1,,
37,019b_2.jpg,on/off  switch,1,1,
38,020a_1.jpg,boxes,1,,
39,020b_1.jpg,boxes,1,3,
40,021a_2.jpg,armor,1,,
41,021b_2.jpg,armor,1,3,
42,022a_2.jpg,straw,1,,
43,022b_2.jpg,straw,1,5,
44,023a_2.jpg,shrimp,1,,
45,023b_2.jpg,shrimp,1,4,
46,024a_2.jpg,hockey stick,1,,
47,024b_2.jpg,hockey stick,1,3,
48,025a_1.jpg,pumpkin,1,,
49,025b_1.jpg,pumpkin,1,2,
50,026a_1.jpg,luggage,1,,
51,026b_1.jpg,luggage,1,5,
52,027a_2.jpg,fridge,1,,
53,027b_2.jpg,fridge,1,1,
54,028a_1.jpg,tray,1,,
55,028b_1.jpg,tray,1,4,
56,029a_2.jpg,hamster cage,1,,
57,029b_2.jpg,hamster cage,1,3,
58,030a_1.jpg,jump rope,1,,
59,030b_1.jpg,jump rope,1,1,
60,031a_2.jpg,ipod,1,,
61,031b_2.jpg,ipod,1,4,
62,032a_1.jpg,wedding cake,1,,
63,032b_1.jpg,wedding cake,1,2,
64,033a_2.jpg,monopoly,1,,
65,033b_2.jpg,monopoly,1,2,
66,034a_2.jpg,thermostat,1,,
67,034b_2.jpg,thermostat,1,2,
68,035a_2.jpg,pumpkin pie,1,,
69,035b_2.jpg,pumpkin pie,1,3,
70,036a_1.jpg,bulldozer,1,,
71,036b_1.jpg,bulldozer,1,4,
72,037a_1.jpg,soap dispenser,1,,
73,037b_1.jpg,soap dispenser,1,5,
74,038a_2.jpg,cinnamon roll,1,,
75,038b_2.jpg,cinnamon roll,1,1,
76,039a_2.jpg,giraffe,1,,
77,039b_2.jpg,giraffe,1,4,
78,040a_2.jpg,feather,1,,
79,040b_2.jpg,feather,1,2,
80,041a_1.jpg,cookie,1,,
81,041b_1.jpg,cookie,1,5,
82,042a_2.jpg,lantern,1,,
83,042b_2.jpg,lantern,1,1,
84,043a_1.jpg,disco ball,1,,
85,043b_1.jpg,disco ball,1,1,
86,044a_2.jpg,funnel,1,,
87,044b_2.jpg,funnel,1,3,
